Identifier,Class of,Total Score (240-1440),Reading and Writing Section Score (120-720),Math Section Score (120-720),Total Percentile,PREACT Composite Percentile_PreACT,PreACT Math Percentile_PreACT,PreACT Science Percentile_PreACT,PreACT English Percentile_PreACT,PreACT Reading_PreACT
124,2028,1050.0,510.0,540.0,86,,,,94.0,96.0
125,2029,880.0,500.0,380.0,72,,,,,
126,2028,1040.0,610.0,430.0,85,,71.0,,,
127,2029,780.0,410.0,370.0,49,,,,,
128,2029,1000.0,530.0,470.0,88,,,,,
129,2028,1350.0,630.0,720.0,99,,,,,
130,2029,810.0,430.0,380.0,57,,,,,
131,2029,1140.0,590.0,550.0,97,,,,,
132,2029,960.0,560.0,400.0,84,,,,,
133,2029,1190.0,660.0,530.0,98,,,,,
134,2029,1010.0,520.0,490.0,89,,,,,
135,2028,1210.0,650.0,560.0,96,,,,,
136,2028,890.0,430.0,460.0,62,72.0,62.0,80.0,87.0,58.0
137,2029,1230.0,540.0,690.0,99,,,,,
138,2028,960.0,530.0,430.0,74,,,,,
139,2028,1170.0,640.0,530.0,95,,,,,
140,2029,960.0,530.0,430.0,84,,,,,
141,2028,1150.0,600.0,550.0,94,,,,,
142,2028,970.0,500.0,470.0,75,97.0,85.0,88.0,100.0,96.0
143,2028,1020.0,510.0,510.0,82,,,,,89.0
144,2029,930.0,470.0,460.0,80,,,,,
145,2029,790.0,420.0,370.0,52,,,,,
146,2029,1040.0,560.0,480.0,92,,,,,
147,2029,920.0,460.0,460.0,78,,,,,
148,2029,910.0,500.0,410.0,77,,,,,
149,2029,980.0,480.0,500.0,86,,,,,
150,2028,1050.0,550.0,500.0,86,,,,,
151,2028,1110.0,590.0,520.0,91,,,,,
152,2028,1030.0,570.0,460.0,83,,,,,
153,2029,1060.0,580.0,480.0,93,,,,,
154,2028,1070.0,540.0,530.0,88,,,,,
155,2029,970.0,490.0,480.0,85,,,,,
156,2029,1060.0,590.0,470.0,93,,,,,
157,2029,930.0,470.0,460.0,80,,,,,
158,2028,1020.0,540.0,480.0,82,,,,,
159,2029,990.0,490.0,500.0,87,,,,,
160,2029,830.0,410.0,420.0,61,,,,,
161,2028,1020.0,540.0,480.0,82,,,,,
162,2029,890.0,500.0,390.0,73,,,,,
163,2028,1440.0,720.0,720.0,>99,,,,,
164,2028,1170.0,660.0,510.0,95,,,,,
165,2028,820.0,420.0,400.0,47,,52.0,,52.0,63.0
166,2029,1000.0,510.0,490.0,88,,,,,
167,2029,1030.0,520.0,510.0,91,,,,,
168,2028,860.0,470.0,390.0,56,,71.0,,70.0,63.0
169,2029,1210.0,670.0,540.0,98,,,,,
170,2028,830.0,430.0,400.0,49,77.0,71.0,80.0,70.0,76.0
